;Zummi;Gruffi;Grammi;Tummi;Sunni;Cubbi;Sir Thornberry;Gusto;Chummi;Sir Gallant
243;nan;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
244;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
245;Nie Widział;Widział;Nie Widział;Nie Widział;nan;Widział;Widział;Nie Widział;Nie Widział;Widział
246;Nie Widział;Widział;nie widzial;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział
247;Nie Widział;Nie Widział;Widział;tak;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
248;Nie Widział;Widział;Widział;Nie Widział;Widzial;Widział;Nie Widział;Widział;Widział;Widzial
249;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
250;Widział;Nie Widział;Widział;nan;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział
251;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
252;Nie Widział;Widział;Widzial;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział
253;nie widzial;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział
254;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widzial
255;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
256;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;nan;Widzial
257;Widział;Widział;Widział;Widzi al;Widział;Nie Widział;Nie Widział;tak;nie widzial;Widział
258;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział
259;Nie Widział;Widział;nie widzial;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział
260;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;nie widzial;Widział
261;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widzial;Nie Widział
262;Nie Widział;nan;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
263;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
264;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział
265;Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział
266;Widział;nie widzial;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;nie widzial
267;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Widział;nie widzial;Nie Widział
268;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział
269;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;Nie Widział;Nie Widział
270;Widział;Widzial;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
271;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział
272;Widział;Widzi al;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;nie widzial
273;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Widział;nan;Nie Widział
274;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widzial;Widział;Widzial;Nie Widział;Widział;Widział
275;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widzial
276;Nie Widział;Nie Widział;Widział;Nie Widział;tak;Nie Widział;Widzi al;Nie Widział;Nie Widział;Widział
277;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
278;Nie Widział;Widział;Widzial;Widzial;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
279;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;nie;nie widzial;Nie Widział;Nie Widział;Widzi al
280;nie widzial;Nie Widział;tak;Nie Widział;nie widzial;Nie Widział;Nie Widział;Widzial;Widział;Widział
281;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
282;Nie Widział;Widzial;nie widzial;Nie Widział;Nie Widział;Widział;Nie Widział;nan;Nie Widział;Nie Widział
283;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
284;Widział;Nie Widział;Widział;Nie Widział;nie widzial;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
285;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
286;Nie Widział;Widzi al;nie widzial;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
287;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;tak;Widział;Widział;Nie Widział
288;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Widzial;nie widzial;Widział
289;Widzial;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział
290;Widział;Nie Widział;Nie Widział;Widział;Widział;nie widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział
291;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;tak;Nie Widział
292;Nie Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widzial
293;Nie Widział;Widział;Nie Widział;tak;Widział;Widzial;Widział;Nie Widział;Nie Widział;nie widzial
294;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział
295;Nie Widział;Widział;tak;Nie Widział;nie widzial;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
296;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział
297;Widzial;Nie Widział;Nie Widział;Widział;Widział;Widział;nie widzial;Nie Widział;Widzial;Nie Widział
298;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział
299;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział
300;Widzi al;nie widzial;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;nan
301;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
302;Nie Widział;Widział;Widział;tak;Widział;Widział;Widział;nie widzial;Widział;Widział
303;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;nie;Widział;Nie Widział;Nie Widział
304;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
305;nan;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widzi al;Widział;Nie Widział
306;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;tak;Nie Widział;Nie Widział
307;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
308;Widział;Widział;Nie Widział;Widział;Nie Widział;Widzial;Widział;Nie Widział;Widział;Nie Widział
309;Widział;nie;nie widzial;Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział
310;Widział;Widział;Widział;nan;Nie Widział;Widział;Widział;nie widzial;Nie Widział;Nie Widział
311;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
312;Widział;Widzial;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;nie widzial;Widzial
313;Widział;Widział;nie widzial;Widział;Widzial;Widział;Nie Widział;Widział;Nie Widział;Widział
314;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
315;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział
316;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
317;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
318;nie widzial;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;nie
319;Widział;Nie Widział;Widział;nie widzial;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
320;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;tak;Widział
321;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
322;Nie Widział;nan;nie widzial;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział
323;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
324;Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Widzial;Widział;Widział
325;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział
326;Widział;Widział;Widział;Nie Widział;Widział;Widzial;Widział;Nie Widział;Nie Widział;Widział
327;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widzial;Widział;Nie Widział;Nie Widział
328;nie;Nie Widział;Nie Widział;nan;Nie Widział;Widzi al;Nie Widział;Nie Widział;Nie Widział;Nie Widział
329;nie;Widzial;Widział;Widział;Widział;Widział;Nie Widział;nie widzial;Nie Widział;Nie Widział
330;Nie Widział;Widział;Widzial;Nie Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział;Widział;Widział
331;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
332;nan;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
333;Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
334;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;nie widzial;Nie Widział;Nie Widział
335;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział
336;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział
337;Widział;Widział;Nie Widział;Nie Widział;Widzial;Widział;Widział;Widział;nie widzial;Nie Widział
338;Nie Widział;Nie Widział;Nie Widział;Widzial;nan;Nie Widział;Nie Widział;Widzi al;Nie Widział;Widzial
339;Widział;Widzial;nie widzial;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
340;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
341;Widział;Nie Widział;Widział;nan;nie widzial;Nie Widział;Widział;Widział;Nie Widział;Widział
342;Widzi al;Nie Widział;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Widzial;Widział;Widział
343;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział
344;Widział;Nie Widział;Nie Widział;Widział;Widzial;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
345;Nie Widział;Widział;Widział;Nie Widział;nie;Nie Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział
346;Widział;Widział;Nie Widział;Widział;Nie Widział;nie widzial;Nie Widział;Widział;Widział;Widział
347;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział
348;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;nie;Widział;Widział;Widział;Widział
349;Nie Widział;nie widzial;Widział;Widzial;Nie Widział;Widział;Nie Widział;Nie Widział;nie widzial;Nie Widział
350;nan;nie widzial;Nie Widział;Nie Widział;Widział;Widział;nie widzial;Nie Widział;Nie Widział;Widział
351;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widzi al;Nie Widział;Nie Widział
352;Widział;Nie Widział;Nie Widział;Nie Widział;tak;Nie Widział;Nie Widział;Widział;Widział;tak
353;Widział;Widział;Widział;Widzi al;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
354;Nie Widział;Nie Widział;Widział;Widział;nan;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
355;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
356;Nie Widział;Nie Widział;nie;Widzi al;Widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział;tak
357;Nie Widział;Nie Widział;nan;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
358;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie
359;Nie Widział;Widział;Widział;tak;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
360;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział
361;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział
362;Widział;Widział;Widział;Widzial;Nie Widział;Nie Widział;tak;Widział;Nie Widział;Widział
363;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
364;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widzial;Widział;Nie Widział
365;nie widzial;Nie Widział;Nie Widział;Widział;Nie Widział;Widzial;Nie Widział;Widział;Widzial;Nie Widział
366;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;tak;Nie Widział;Nie Widział;Widział
367;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
368;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział
369;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widzial;Widział;Widział
370;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nie;Nie Widział
371;Nie Widział;Widział;nie widzial;Nie Widział;Widział;Nie Widział;nan;Nie Widział;Widział;Widzial
372;Nie Widział;Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;Nie Widział;Widział;Widział;Nie Widział
373;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
374;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
375;Widział;Nie Widział;Widzial;Nie Widział;Nie Widział;Widział;nie widzial;Widział;Nie Widział;Nie Widział
376;Nie Widział;Widział;Widział;tak;Nie Widział;Nie Widział;tak;Nie Widział;Widział;Nie Widział
377;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;nie widzial;Widział;Widzial;Nie Widział
378;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
379;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;nan;Nie Widział
380;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
381;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widzi al;Widział;Nie Widział;Widział
382;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Widział
383;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
384;Nie Widział;Widział;nie widzial;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
385;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
386;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
387;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Widzial;Widział
388;Nie Widział;Widział;Widział;tak;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział
389;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział;Widział;Nie Widział
390;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
391;Widział;Nie Widział;Nie Widział;nan;Widział;Nie Widział;Widział;tak;Widział;Widział
392;Nie Widział;Widział;Widział;Widział;Nie Widział;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział
393;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widzi al;Widział;Widział;Widział
394;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
395;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Widział;nie;Widział;Nie Widział
396;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział
397;Nie Widział;Widział;nie widzial;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
398;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
399;Widział;nie;Widział;Nie Widział;Widzial;Nie Widział;nie widzial;Nie Widział;Widział;Widział
400;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
401;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nan;Widział;Nie Widział;Widział;Widział
402;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;tak;Nie Widział
403;Widział;nie;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
404;Nie Widział;Widział;nan;Nie Widział;Widzi al;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
405;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
406;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;nie;Widział;Nie Widział
407;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nie;Widział;Nie Widział;Widział;Nie Widział
408;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
409;Widział;Widział;Nie Widział;Widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widzial
410;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
411;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział
412;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział
413;Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
414;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;nan
415;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widzial;Widział
416;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
417;Nie Widział;Widział;nan;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział
418;Nie Widział;Nie Widział;Widział;Widzial;tak;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
419;Nie Widział;Widział;Widzi al;Nie Widział;Widział;Nie Widział;tak;Nie Widział;Widział;Nie Widział
420;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Widział;Nie Widział
421;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;tak;Widział;Widział;Widział;Widział
422;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
423;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział
424;Widział;Widział;Nie Widział;Widział;Nie Widział;nie widzial;Nie Widział;Nie Widział;Nie Widział;Nie Widział
425;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Widział;Widział
426;Nie Widział;Widział;Nie Widział;Widział;tak;Nie Widział;Widział;Widział;Widział;Nie Widział
427;Nie Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
428;Nie Widział;Nie Widział;Widział;Nie Widział;Widzial;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
429;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;nie
430;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
431;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział
432;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nan;Widział;Widział;Nie Widział
433;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział
434;Widział;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nan
435;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widzial
436;Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
437;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
438;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;tak;Widział
439;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
440;Widział;Widzial;Widział;Widział;Nie Widział;Nie Widział;Widzial;Nie Widział;Widział;Widzial
441;Nie Widział;Nie Widział;Widział;Nie Widział;nan;Widział;Widzi al;Nie Widział;Widział;Nie Widział
442;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;nan;Widział;Widział;Widział
443;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;nie widzial
444;Nie Widział;Widział;Nie Widział;nie widzial;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
445;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
446;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział;Nie Widział
447;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widzial
448;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;nie widzial;Nie Widział;Nie Widział;Widział;Nie Widział
449;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;tak;Widział
450;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Widział
451;Widział;Nie Widział;Widział;Widział;nie widzial;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
452;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widzial;Nie Widział
453;Widział;Nie Widział;Widział;Nie Widział;tak;Nie Widział;Widział;Nie Widział;Widział;Widział
454;Nie Widział;Nie Widział;Widział;Widział;Widzial;Widział;Widzial;Nie Widział;Nie Widział;Widział
455;Widzial;Nie Widział;Widział;Widział;Nie Widział;Widział;Widział;Nie Widział;Widział;Nie Widział
456;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
457;Widzial;Nie Widział;Nie Widział;nie;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;tak
458;Widział;Widział;Widział;tak;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
459;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;nie widzial;Widział;Nie Widział
460;Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;tak;Nie Widział;Widział;Widział
461;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Widział;Nie Widział
462;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział
463;Widział;Widział;Widział;Nie Widział;Widzial;Widział;Widział;Nie Widział;Nie Widział;Nie Widział
464;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział
465;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział
466;Nie Widział;nan;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
467;Nie Widział;tak;Widzial;Nie Widział;Widział;Widział;Widział;Nie Widział;Nie Widział;Widział
468;Widział;Widział;nan;Widział;Nie Widział;Widział;Nie Widział;Widział;nie widzial;Widział
469;Nie Widział;Widział;Widział;Widzial;Widział;Widział;Nie Widział;Nie Widział;Widział;Widział
470;Widział;Widział;Widział;Nie Widział;Nie Widział;Widzial;nie widzial;Widzi al;Widział;Widział
471;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Widział;Nie Widział;Widział
472;Nie Widział;Widział;Nie Widział;tak;Widział;Nie Widział;Widział;Widział;nan;Nie Widział
473;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział
474;Nie Widział;Widzial;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Widział
475;nan;Nie Widział;Widział;Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Nie Widział
476;Nie Widział;Widział;Widział;Widział;Widzial;Nie Widział;Nie Widział;Widział;Widział;Widzi al
477;Widział;Nie Widział;Nie Widział;Nie Widział;nie widzial;Widział;Widział;Nie Widział;Widział;Widział
478;Nie Widział;Nie Widział;nie;Widział;Nie Widział;Widział;Nie Widział;Widział;Widział;Widział
479;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widzial;tak
480;Nie Widział;Nie Widział;Widział;Widzi al;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział
481;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział;Nie Widział;Widział;Nie Widział
482;Widział;Nie Widział;Widział;Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;Nie Widział;nan
483;Widział;Widział;Widział;Widział;Widzi al;Nie Widział;Nie Widział;Nie Widział;Widział;Nie Widział
